20	Union{Nothing, Int64}"334, 246, 136, 21, 253"	"692.897, 1055.09, 72.406, 280.114, 99.9956"	"6928.97, 10550.9, 724.06, 2801.14, 999.956"	"89.8053, 205.883, 129.495, 302.605, 219.002"	1000.0	1010.0	982978.0651419675
21	Union{Nothing, Int64}"334, 20, 251, 39, 40, 11, 259"	"8.24301, 280.114, 65.4025, 675.118, 16.3485, 645.375, 177.553"	"82.4301, 2801.14, 654.025, 6751.18, 163.485, 6453.75, 1775.53"	"228.79, 302.605, 244.73, 152.118, 149.164, 116.812, 92.6553"	1000.0	1010.0	672741.6091209669
22	Union{Nothing, Int64}"49, 23, 172, 180"	"98.844, 88.084, 123.048, 267.55"	"988.44, 880.84, 1230.48, 2675.5"	"126.761, 86.585, 181.957, 41.1702"	1000.0	1010.0	20897.063352844212
23	Union{Nothing, Int64}"49, 22, 48, 172, 173"	"177.954, 88.084, 6.94424, 46.6042, 271.89"	"1779.54, 880.84, 69.4424, 466.042, 2718.9"	"121.116, 86.585, 189.805, 184.329, 35.4683"	1000.0	1010.0	863.0564853370888
24	Union{Nothing, Int64}"221, 269, 98, 25, 257, 216"	"68.8258, 178.736, 62.5776, 102.378, 191.539, 63.7132"	"688.258, 1787.36, 625.776, 1023.78, 1915.39, 637.132"	"160.358, 50.9671, 154.952, 288.733, 149.357, 106.98"	1000.0	1010.0	1.0102266360255235e6
25	Union{Nothing, Int64}"221, 24, 66, 239, 257, 264, 265"	"15.5082, 102.378, 116.227, 14.7198, 5.32935, 188.378, 246.049"	"155.082, 1023.78, 1162.27, 147.198, 53.2935, 1883.78, 2460.49"	"182.822, 288.733, 204.883, 235.238, 245.506, 167.0, 87.0919"	1000.0	1010.0	965295.9047928385
26	Union{Nothing, Int64}"111, 45, 105, 108, 101, 1, 30, 31, 106, 107, 229, 231, 230"	"56.139, 27.5359, 104.038, 80.0047, 28.8604, 353.592, 26.4153, 60.9372, 24.3984, 115.119, 31.2016, 42.7758, 37.3314"	"561.39, 275.359, 1040.38, 800.047, 288.604, 3535.92, 264.153, 609.372, 243.984, 1151.19, 312.016, 427.758, 373.314"	"373.641, 319.984, 195.651, 478.533, 294.991, 208.569, 162.25, 130.115, 130.626, 156.671, 95.2116, 99.2577, 88.1641"	1000.0	1010.0	634483.4786026016
27	Union{Nothing, Int64}"212, 219, 33, 17, 96, 97, 220"	"34.9646, 59.2836, 83.2483, 14.7607, 182.791, 79.9683, 206.193"	"349.646, 592.836, 832.483, 147.607, 1827.91, 799.683, 2061.93"	"159.831, 267.913, 211.483, 245.033, 120.017, 271.017, 97.4987"	1000.0	1010.0	265246.76778513123
28	Union{Nothing, Int64}"15, 14, 244, 243, 29"	"93.0358, 95.6563, 138.179, 188.946, 67.3918"	"930.358, 956.563, 1381.79, 1889.46, 673.918"	"162.89, 180.71, 158.398, 124.258, 122.184"	1000.0	1010.0	72897.24159688642
29	Union{Nothing, Int64}"15, 28, 244, 113, 114, 115, 116"	"150.91, 67.3918, 39.6784, 111.465, 58.1584, 139.037, 45.1712"	"1509.1, 673.918, 396.784, 1114.65, 581.584, 1390.37, 451.712"	"171.231, 122.184, 166.604, 147.122, 164.806, 139.086, 233.42"	1000.0	1010.0	31306.62328899768
30	Union{Nothing, Int64}"26, 101, 31, 103, 138, 100"	"26.4153, 39.7633, 142.945, 2.70242, 79.1014, 124.579"	"264.153, 397.633, 1429.45, 27.0242, 791.014, 1245.79"	"162.25, 160.345, 39.5041, 216.832, 156.221, 94.0"	1000.0	1010.0	2.725270997788467e6
31	Union{Nothing, Int64}"26, 30, 138, 231"	"60.9372, 142.945, 28.0929, 126.444"	"609.372, 1429.45, 280.929, 1264.44"	"130.115, 39.5041, 154.204, 51.1272"	1000.0	1010.0	2.740674640619907e6
32	Union{Nothing, Int64}"266, 12, 252, 280"	"217.683, 239.147, 130.065, 177.307"	"2176.83, 2391.47, 1300.65, 1773.07"	"271.017, 169.65, 132.371, 171.187"	1000.0	1010.0	1.1309682392892821e6
33	Union{Nothing, Int64}"90, 16, 220, 210, 34, 95, 92, 27, 97, 271"	"51.3694, 3.73484, 195.028, 147.355, 227.466, 19.7009, 43.5331, 83.2483, 141.101, 53.3963"	"513.694, 37.3484, 1950.28, 1473.55, 2274.66, 197.009, 435.331, 832.483, 1411.01, 533.963"	"227.264, 526.745, 268.062, 442.526, 177.553, 261.536, 277.228, 211.483, 190.066, 249.439"	1000.0	1010.0	1.5199624994868096e6
34	Union{Nothing, Int64}"90, 33, 273, 181, 94, 263, 271"	"124.721, 227.466, 56.3811, 135.437, 53.4285, 30.2638, 86.6778"	"1247.21, 2274.66, 563.811, 1354.37, 534.285, 302.638, 866.778"	"223.66, 177.553, 143.527, 123.762, 127.267, 133.357, 116.433"	1000.0	1010.0	1.4451724810560658e6
35	Union{Nothing, Int64}"74, 203, 36, 71, 72, 75"	"72.7086, 98.4948, 9.52996, 45.928, 183.712, 217.884"	"727.086, 984.948, 95.2996, 459.28, 1837.12, 2178.84"	"250.05, 239.708, 231.019, 226.135, 88.8144, 114.739"	1000.0	1010.0	175428.3180994657
36	Union{Nothing, Int64}"74, 35, 53, 75, 54"	"211.195, 9.52996, 452.478, 209.959, 550.786"	"2111.95, 95.2996, 4524.78, 2099.59, 5507.86"	"255.157, 231.019, 352.321, 118.089, 187.609"	1000.0	1010.0	271744.63494495675
37	Union{Nothing, Int64}"274, 38, 261, 262, 266, 165"	"102.68, 302.791, 231.828, 158.339, 136.502, 342.486"	"1026.8, 3027.91, 2318.28, 1583.39, 1365.02, 3424.86"	"333.084, 170.344, 394.872, 258.031, 496.0, 493.105"	1000.0	1010.0	872805.504261463
38	Union{Nothing, Int64}"274, 37, 296, 171, 276, 262"	"88.215, 302.791, 105.591, 251.27, 81.4031, 132.253"	"882.15, 3027.91, 1055.91, 2512.7, 814.031, 1322.53"	"341.532, 170.344, 198.338, 128.144, 304.237, 217.92"	1000.0	1010.0	725762.2574558343
39	Union{Nothing, Int64}"259, 7, 42, 8, 40, 21"	"148.988, 35.2678, 458.314, 207.333, 38.7422, 675.118"	"1489.88, 352.678, 4583.14, 2073.33, 387.422, 6751.18"	"89.3588, 357.875, 229.752, 426.218, 213.846, 152.118"	1000.0	1010.0	465497.38770219666
40	Union{Nothing, Int64}"259, 39, 251, 21, 42, 126"	"174.548, 38.7422, 112.715, 16.3485, 81.903, 219.937"	"1745.48, 387.422, 1127.15, 163.485, 819.03, 2199.37"	"126.905, 213.846, 154.315, 149.164, 353.344, 131.042"	1000.0	1010.0	640405.7981154223
41	Union{Nothing, Int64}"128, 42, 18, 7"	"25.4349, 258.281, 69.5195, 210.549"	"254.349, 2582.81, 695.195, 2105.49"	"111.457, 73.5194, 77.6785, 93.9987"	1000.0	1010.0	322878.0684719533
42	Union{Nothing, Int64}"7, 40, 39, 126, 128, 41"	"96.6658, 81.903, 458.314, 102.106, 315.368, 258.281"	"966.658, 819.03, 4583.14, 1021.06, 3153.68, 2582.81"	"166.566, 353.344, 229.752, 449.444, 69.6861, 73.5194"	1000.0	1010.0	601560.6963188911
43	Union{Nothing, Int64}"202, 335, 44, 50, 69, 70"	"167.745, 141.921, 53.0108, 79.6679, 186.303, 96.9087"	"1677.45, 1419.21, 530.108, 796.679, 1863.03, 969.087"	"217.497, 132.31, 163.527, 174.092, 190.507, 248.453"	1000.0	1010.0	227301.77345553535
44	Union{Nothing, Int64}"202, 43, 335, 71, 203, 76"	"45.6412, 53.0108, 133.492, 155.298, 131.874, 63.5928"	"456.412, 530.108, 1334.92, 1552.98, 1318.74, 635.928"	"179.388, 163.527, 46.0109, 193.794, 260.248, 135.447"	1000.0	1010.0	277589.2345333239
45	Union{Nothing, Int64}"111, 336, 109, 26, 101"	"77.1138, 169.29, 13.4894, 27.5359, 247.04"	"771.138, 1692.9, 134.894, 275.359, 2470.4"	"75.0998, 34.2521, 195.484, 319.984, 32.4612"	1000.0	1010.0	475695.520775588
46	Union{Nothing, Int64}"75, 79, 317, 316, 47, 72, 205"	"38.6161, 127.543, 168.175, 80.1203, 177.112, 118.682, 15.0427"	"386.161, 1275.43, 1681.75, 801.203, 1771.12, 1186.82, 150.427"	"267.649, 155.57, 210.152, 164.201, 177.634, 261.704, 401.061"	1000.0	1010.0	3.4002735246958397e6
47	Union{Nothing, Int64}"75, 46, 81, 54, 56, 79"	"61.6234, 177.112, 68.1419, 250.202, 100.742, 124.924"	"616.234, 1771.12, 681.419, 2502.02, 1007.42, 1249.24"	"238.6, 177.634, 315.311, 205.456, 214.478, 140.471"	1000.0	1010.0	3.469737188810818e6
48	Union{Nothing, Int64}"23, 173, 49, 90, 91, 89, 309"	"6.94424, 143.907, 84.0357, 139.082, 142.636, 141.513, 28.5085"	"69.4424, 1439.07, 840.357, 1390.82, 1426.36, 1415.13, 285.085"	"189.805, 191.175, 189.0, 172.627, 266.017, 125.674, 181.893"	1000.0	1010.0	29857.041993907187
49	Union{Nothing, Int64}"48, 180, 22, 23, 174, 57, 91"	"84.0357, 11.1749, 98.844, 177.954, 79.2812, 186.812, 75.7587"	"840.357, 111.749, 988.44, 1779.54, 792.812, 1868.12, 757.587"	"189.0, 127.026, 126.761, 121.116, 116.726, 245.153, 328.055"	1000.0	1010.0	1.9230892227475357e6
50	Union{Nothing, Int64}"335, 43, 70, 201, 204, 213"	"107.547, 79.6679, 107.677, 102.946, 23.124, 172.102"	"1075.47, 796.679, 1076.77, 1029.46, 231.24, 1721.02"	"203.199, 174.092, 158.142, 172.026, 195.021, 118.004"	1000.0	1010.0	355525.8298895152
51	Union{Nothing, Int64}"95, 52, 97, 219"	"75.9943, 88.9874, 101.529, 78.7165"	"759.943, 889.874, 1015.29, 787.165"	"92.2515, 41.2583, 28.8772, 38.5088"	1000.0	1010.0	72136.3028593543
