1	20
2	20
3	11
4	12
5	62
6	63
7	15
8	16
9	71
10	70
11	56
12	56
13	35
14	13
15	14
16	64
17	37
18	78
19	66
20	69
21	61
22	61
23	58
24	8
25	77
26	36
27	24
28	68
29	67
30	65
31	59
32	59
33	57
34	18
35	7
36	26
37	23
38	1
39	27
40	75
41	60
42	60
43	30
44	31
45	17
46	28
47	29
48	2
49	48
50	44
51	73
52	73
53	54
54	33
55	10
56	9
57	47
58	42
59	45
60	19
61	6
62	6
63	22
64	21
65	50
66	34
67	46
68	49
69	43
70	5
71	55
72	55
73	51
74	32
75	50
76	34
77	46
78	25
79	25
80	72
81	53
82	53
83	40
84	76
85	76
86	34
87	4
88	4
89	4
90	3
91	74
92	74
93	41
94	52
95	52
96	52
97	38
98	38
99	38
100	39
